DATA_INIZIO,4000155_5,4000155_111
2015-01-27,28.0,20.0
2015-01-28,15.0,11.0
2015-01-29,31.0,23.0
2015-01-30,17.0,16.0
2015-01-31,29.0,21.0
2015-02-01,32.0,31.0
2015-02-02,21.0,17.0
2015-02-03,57.0,45.0
2015-02-04,31.0,25.0
2015-02-05,17.0,13.0
2015-02-06,17.0,10.2
2015-02-07,27.0,17.2
2015-02-08,34.0,22.4
2015-02-09,39.0,28.4
2015-02-10,53.0,35.2
2015-02-11,63.0,60.0
2015-02-12,64.0,60.0
2015-02-13,78.0,63.0
2015-02-14,82.0,64.0
2015-02-15,43.0,34.0
2015-02-16,36.0,23.0
2015-02-17,51.0,35.0
2015-02-18,41.0,28.0
2015-02-19,41.0,28.0
2015-02-20,41.0,35.0
2015-02-21,41.0,30.0
2015-02-22,11.0,6.6
2015-02-23,14.0,8.6
2015-02-24,19.0,10.6
2015-02-25,10.0,8.0
2015-02-26,19.0,15.0
2015-02-27,30.0,21.0
2015-02-28,37.0,31.0
2015-03-01,41.0,32.0
2015-03-02,47.0,34.0
2015-03-03,45.0,31.0
2015-03-04,45.0,28.0
2015-03-05,18.0,9.0
2015-03-06,19.0,12.0
2015-03-07,21.0,18.0
2015-03-08,22.0,14.0
2015-03-09,29.0,19.0
2015-03-10,36.0,23.0
2015-03-11,43.0,28.0
2015-03-12,30.0,19.0
2015-03-13,28.0,17.0
2015-03-14,39.0,29.0
2015-03-15,37.0,25.0
2015-03-16,29.0,19.0
2015-03-17,26.0,17.0
2015-03-18,42.0,27.0
2015-03-19,44.0,29.0
2015-03-20,57.0,40.0
2015-03-21,49.0,35.0
2015-03-22,33.0,23.0
2015-03-23,37.0,25.0
2015-03-24,45.0,30.0
2015-03-25,17.0,10.0
2015-03-26,9.0,6.0
2015-03-27,14.0,8.0
2015-03-28,10.0,7.0
2015-03-29,17.0,13.0
2015-03-30,19.0,13.0
2015-03-31,16.0,8.0
2015-04-01,7.0,3.0
2015-04-02,12.0,7.0
2015-04-03,19.0,10.0
2015-04-04,17.0,12.0
2015-04-05,11.0,7.0
